CustomerID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Score,RFM_Segment
12347,2,7,4310.0,4,4,4,444,Champions
12348,75,4,1797.24,2,3,4,234,About to Sleep
12349,19,1,1757.55,3,1,4,314,Unknown
12350,310,1,334.40000000000003,1,1,2,112,Can't Lose
12352,36,11,1545.41,3,4,3,343,Loyal
12353,204,1,89.0,1,1,1,111,Can't Lose
12354,232,1,1079.4,1,1,3,113,Unknown
12355,214,1,459.40000000000003,1,1,2,112,Can't Lose
12356,23,3,2811.43,3,2,4,324,Unknown
12357,33,1,6207.67,3,1,4,314,Unknown
12358,2,2,1168.06,4,2,3,423,Potential Loyalists
12359,8,6,6245.53,4,3,4,434,Loyal
12360,52,3,2662.06,2,2,4,224,About to Sleep
12361,287,1,189.9,1,1,1,111,Can't Lose
12362,3,13,5154.58,4,4,4,444,Champions
12363,110,2,552.0,2,2,2,222,At Risk
12364,8,4,1313.1,4,3,3,433,Loyal
12365,291,3,320.69,1,2,2,122,Can't Lose
12367,4,1,168.9,4,1,1,411,Lost
12370,51,4,3545.69,2,3,4,234,About to Sleep
12371,45,2,1887.96,3,2,4,324,Unknown
12372,72,3,1298.04,2,2,3,223,About to Sleep
12373,311,1,364.6,1,1,2,112,Can't Lose
12374,25,1,742.9300000000001,3,1,3,313,Unknown
12375,3,3,455.42,4,2,2,422,New Customers
12377,315,2,1628.1200000000001,1,2,4,124,Unknown
12378,130,1,4008.62,2,1,4,214,Unknown
12379,82,3,850.29,2,2,3,223,About to Sleep
12380,22,5,2720.56,3,3,4,334,Loyal
12381,5,6,1803.96,4,3,4,434,Loyal
12383,185,6,1839.31,1,3,4,134,Hibernating
12384,29,3,566.16,3,2,2,322,Promising
12386,338,2,401.9,1,2,2,122,Can't Lose
12388,16,6,2780.6600000000003,4,3,4,434,Loyal
12390,80,1,549.84,2,1,2,212,At Risk
12391,22,1,460.89,3,1,2,312,Promising
12393,72,4,1582.6000000000001,2,3,3,233,About to Sleep
12394,64,2,1272.48,2,2,3,223,About to Sleep
12395,16,15,2998.28,4,4,4,444,Champions
12397,36,2,2409.9,3,2,4,324,Unknown
12398,46,1,1635.6599999999999,3,1,4,314,Unknown
12399,119,4,1108.65,2,3,3,233,About to Sleep
12401,303,1,84.3,1,1,1,111,Can't Lose
12402,323,1,225.60000000000002,1,1,1,111,Can't Lose
12403,50,2,409.7,3,2,2,322,Promising
12405,149,1,1710.39,1,1,4,114,Unknown
12406,22,3,3280.75,3,2,4,324,Unknown
12407,50,5,1708.12,3,3,4,334,Loyal
12408,33,9,2842.57,3,4,4,344,Loyal
12409,79,7,11056.93,2,4,4,244,Hibernating
12410,301,3,681.08,1,2,3,123,Can't Lose
12412,75,3,1226.88,2,2,3,223,About to Sleep
12413,67,5,694.15,2,3,3,233,About to Sleep
12414,217,3,562.4100000000001,1,2,2,122,Can't Lose
12415,24,26,123725.45,3,4,4,344,Loyal
12417,3,12,3578.8,4,4,4,444,Champions
12418,113,1,668.58,2,1,3,213,Unknown
12420,64,1,600.39,2,1,2,212,At Risk
12421,16,5,806.27,4,3,3,433,Loyal
12422,96,3,803.5600000000001,2,2,3,223,About to Sleep
12423,1,9,1849.1100000000001,4,4,4,444,Champions
12424,163,2,1760.96,1,2,4,124,Unknown
12425,78,1,777.2,2,1,3,213,Unknown
12426,195,1,582.73,1,1,2,112,Can't Lose
12427,12,5,708.37,4,3,3,433,Loyal
12428,26,12,7877.2,3,4,4,344,Loyal
12429,9,4,3750.4,4,3,4,434,Loyal
12430,43,1,256.4,3,1,1,311,Lost
12431,36,18,6416.39,3,4,4,344,Loyal
12432,43,5,5059.32,3,3,4,334,Loyal
12433,1,7,13375.87,4,4,4,444,Champions
12434,85,4,765.19,2,3,3,233,About to Sleep
12435,80,2,7829.89,2,2,4,224,About to Sleep
12436,100,1,509.01,2,1,2,212,At Risk
12437,2,19,4896.66,4,4,4,444,Champions
12438,14,2,2906.85,4,2,4,424,Unknown
12441,367,1,173.55,1,1,1,111,Can't Lose
12442,3,1,172.06,4,1,1,411,Lost
12444,21,5,5005.46,3,3,4,334,Loyal
12445,22,1,133.4,3,1,1,311,Lost
12446,58,1,1002.3100000000001,2,1,3,213,Unknown
12447,243,1,476.49,1,1,2,112,Can't Lose
12448,44,1,449.45,3,1,2,312,Promising
12449,22,4,4067.29,3,3,4,334,Loyal
12450,156,2,197.88,1,2,1,121,Can't Lose
12451,11,6,8933.52,4,3,4,434,Loyal
12452,17,3,428.57000000000005,4,2,2,422,New Customers
12453,134,1,707.09,2,1,3,213,Unknown
12454,53,2,5.684341886080802e-14,2,2,1,221,At Risk
12455,73,6,2466.86,2,3,4,234,About to Sleep
12456,44,4,3153.89,3,3,4,334,Loyal
12457,58,12,1917.78,2,4,4,244,Hibernating
12458,71,2,947.4,2,2,3,223,About to Sleep
12461,94,2,826.88,2,2,3,223,About to Sleep
12462,2,4,1124.01,4,3,3,433,Loyal
12463,46,7,1303.63,3,4,3,343,Loyal
12464,10,8,1212.05,4,4,3,443,Champions
12465,8,3,733.89,4,2,3,423,Potential Loyalists
12468,143,3,724.04,1,2,3,123,Can't Lose
12471,2,49,18740.92,4,4,4,444,Champions
12472,31,13,6229.4800000000005,3,4,4,344,Loyal
12473,29,9,2848.23,3,4,4,344,Loyal
12474,17,30,7116.47,4,4,4,444,Champions
12475,54,1,723.38,2,1,3,213,Unknown
12476,1,20,6546.58,4,4,4,444,Champions
12477,23,9,13117.01,3,4,4,344,Loyal
12478,4,1,680.99,4,1,3,413,Unknown
12479,4,3,477.3,4,2,2,422,New Customers
12480,28,4,3281.63,3,3,4,334,Loyal
12481,23,11,5590.86,3,4,4,344,Loyal
12483,17,13,2327.13,4,4,4,444,Champions
12484,33,8,4495.27,3,4,4,344,Loyal
12488,10,3,1298.66,4,2,3,423,Potential Loyalists
12489,336,1,334.93,1,1,2,112,Can't Lose
12490,5,10,5417.93,4,4,4,444,Champions
12491,39,1,460.40000000000003,3,1,2,312,Promising
12492,63,2,263.21000000000004,2,2,1,221,At Risk
12493,166,3,416.79,1,2,2,122,Can't Lose
